ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,id_escola_latitude,id_escola_longitude,anos_escolares,ideb,projecao
2017,MA,Maranhão,2103703,Cururupu,21005877,UNIDADE INTEGRADA MANOEL JACINTO DOS SANTOS,-1.7998427,-44.6729885,iniciais (1-5),,6.2
2011,MA,Maranhão,2103703,Cururupu,21005907,UI RAIMUNDO TAVARES,,,finais (6-9),,
2017,MA,Maranhão,2103703,Cururupu,21005907,UI RAIMUNDO TAVARES,,,iniciais (1-5),,5.7
2015,MA,Maranhão,2103703,Cururupu,21005907,UI RAIMUNDO TAVARES,,,iniciais (1-5),,5.5
2015,MA,Maranhão,2103703,Cururupu,21005923,,,,iniciais (1-5),,6.1
2019,MA,Maranhão,2103703,Cururupu,21005940,CENTRO DE ENSINO JOAO MARQUES MIRANDA,-1.72197333333333,-44.7915383333333,iniciais (1-5),,4.9
2013,MA,Maranhão,2103703,Cururupu,21005940,CENTRO DE ENSINO JOAO MARQUES MIRANDA,-1.72197333333333,-44.7915383333333,finais (6-9),,4.3
2017,MA,Maranhão,2103703,Cururupu,21005974,,,,finais (6-9),,4.1
2021,MA,Maranhão,2103703,Cururupu,21005974,,,,finais (6-9),,4.7
2023,MA,Maranhão,2103703,Cururupu,21005974,,,,finais (6-9),,
2023,MA,Maranhão,2103703,Cururupu,21005982,UI NELSON ELESBAO MACHADO,-1.83839632663876,-44.8725676629692,iniciais (1-5),,
2021,MA,Maranhão,2103703,Cururupu,21005982,UI NELSON ELESBAO MACHADO,-1.83839632663876,-44.8725676629692,finais (6-9),,4.8
2015,MA,Maranhão,2103703,Cururupu,21006016,CE SILVESTRE FERNANDES,,,finais (6-9),,4.3
2023,MA,Maranhão,2103703,Cururupu,21006016,CE SILVESTRE FERNANDES,,,finais (6-9),,
2013,MA,Maranhão,2103703,Cururupu,21006024,UI MUNICIPAL HERCULANA VIEIRA I,-1.8297718,-44.8727721,finais (6-9),,2.5
2005,MA,Maranhão,2104909,Guimarães,21006075,UEB MARIA FIRMINA DOS REIS,-2.11362993,-44.69808495,iniciais (1-5),,
2011,MA,Maranhão,2104909,Guimarães,21006075,UEB MARIA FIRMINA DOS REIS,-2.11362993,-44.69808495,iniciais (1-5),,
2025,MA,Maranhão,2104909,Guimarães,21006075,UEB MARIA FIRMINA DOS REIS,-2.11362993,-44.69808495,finais (6-9),,
2007,MA,Maranhão,2104909,Guimarães,21006075,UEB MARIA FIRMINA DOS REIS,-2.11362993,-44.69808495,iniciais (1-5),,
2019,MA,Maranhão,2104909,Guimarães,21006245,UEB MARIA DA CONCEICAO BORGES DE SOUSA,-2.07180828,-44.56495933,iniciais (1-5),,3.7
2023,MA,Maranhão,2104909,Guimarães,21006245,UEB MARIA DA CONCEICAO BORGES DE SOUSA,-2.07180828,-44.56495933,iniciais (1-5),,
2021,MA,Maranhão,2104909,Guimarães,21006245,UEB MARIA DA CONCEICAO BORGES DE SOUSA,-2.07180828,-44.56495933,iniciais (1-5),,4.0
2013,MA,Maranhão,2104909,Guimarães,21006245,UEB MARIA DA CONCEICAO BORGES DE SOUSA,-2.07180828,-44.56495933,iniciais (1-5),,
2005,MA,Maranhão,2104909,Guimarães,21006334,UI ARTUR RAIMUNDO FARIAS,-2.0752396,-44.5467185,iniciais (1-5),,
2015,MA,Maranhão,2104909,Guimarães,21006393,UEB SOTERO DOS REIS,-2.16248565,-44.67789759,iniciais (1-5),,
2013,MA,Maranhão,2104909,Guimarães,21006393,UEB SOTERO DOS REIS,-2.16248565,-44.67789759,iniciais (1-5),,
2007,MA,Maranhão,2104909,Guimarães,21006393,UEB SOTERO DOS REIS,-2.16248565,-44.67789759,iniciais (1-5),,
2009,MA,Maranhão,2104909,Guimarães,21006393,UEB SOTERO DOS REIS,-2.16248565,-44.67789759,iniciais (1-5),,
2025,MA,Maranhão,2104909,Guimarães,21006393,UEB SOTERO DOS REIS,-2.16248565,-44.67789759,iniciais (1-5),,
2015,MA,Maranhão,2104909,Guimarães,21006458,UEB DR URBANO SANTOS,-2.133992,-44.6010626,finais (6-9),,3.2
